AS16-M-0053|105:39:15|76.2|29|CSM|Vertical||Rev 17|Mills|Mapping|3400|
AS16-M-0054|105:39:38|76.2|30|CSM|Vertical||Rev 17|Mills, Schuster|Mapping|3400|
AS16-M-0055|105:40:01|76.2|31|CSM|Vertical||Rev 17|Schuster|Mapping|3400|
AS16-M-0056|105:40:24|76.2|32|CSM|Vertical||Rev 17|Schuster, Mendeleev|Mapping|3400|
AS16-M-0057|105:40:47|76.2|33|CSM|Vertical||Rev 17|Schuster, Mendeleev|Mapping|3400|
AS16-M-0058|105:41:11|76.2|34|CSM|Vertical||Rev 17|Schuster, Mendeleev|Mapping|3400|
AS16-M-0059|105:41:34|76.2|36|CSM|Vertical||Rev 17|Schuster, Mendeleev|Mapping|3400|
AS16-M-0060|105:41:57|76.2|37|CSM|Vertical||Rev 17|Schuster, Mendeleev|Mapping|3400|
AS16-M-0061|105:42:20|76.2|38|CSM|Vertical||Rev 17|Mendeleev|Mapping|3400|
AS16-M-0062|105:42:43|76.2|39|CSM|Vertical||Rev 17|Mendeleev|Mapping|3400|
AS16-M-0063|105:43:06|76.2|41|CSM|Vertical||Rev 17|Mendeleev|Mapping|3400|
AS16-M-0064|105:43:29|76.2|42|CSM|Vertical||Rev 17|Mendeleev, Hartmann|Mapping|3400|
AS16-M-0065|105:43:53|76.2|43|CSM|Vertical||Rev 17|Mendeleev, Hartmann|Mapping|3400|
AS16-M-0066|105:44:16|76.2|44|CSM|Vertical||Rev 17|Mendeleev, Hartmann, Green|Mapping|3400|
AS16-M-0067|105:44:39|76.2|45|CSM|Vertical||Rev 17|Mendeleev, Hartmann, Green|Mapping|3400|
AS16-M-0068|105:45:02|76.2|46|CSM|Vertical||Rev 17|Hartmann, Green|Mapping|3400|
AS16-M-0069|105:45:25|76.2|47|CSM|Vertical||Rev 17|Hartmann, Green|Mapping|3400|
AS16-M-0070|105:45:48|76.2|49|CSM|Vertical||Rev 17|Green, Gregory, Morozov|Mapping|3400|
AS16-M-0071|105:46:11|76.2|50|CSM|Vertical||Rev 17|Green, Gregory, Morozov|Mapping|3400|
AS16-M-0072|105:46:34|76.2|51|CSM|Vertical||Rev 17|Gregory, Morozov|Mapping|3400|
AS16-M-0073|105:46:58|76.2|52|CSM|Vertical||Rev 17|Gregory, Morozov|Mapping|3400|
AS16-M-0074|105:47:21|76.2|53|CSM|Vertical||Rev 17|Gregory, Morozov|Mapping|3400|
AS16-M-0075|105:47:44|76.2|55|CSM|Vertical||Rev 17|Gregory, Morozov|Mapping|3400|
AS16-M-0076|105:48:07|76.2|56|CSM|Vertical||Rev 17|King|Mapping|3400|
AS16-M-0077|105:48:30|76.2|57|CSM|Vertical||Rev 17|King|Mapping|3400|
AS16-M-0078|105:48:53|76.2|58|CSM|Vertical||Rev 17|King|Mapping|3400|
AS16-M-0079|105:49:17|76.2|59|CSM|Vertical||Rev 17|King|Mapping|3400|
AS16-M-0080|105:49:40|76.2|61|CSM|Vertical||Rev 17|King, Abul Wafa|Mapping|3400|
AS16-M-0081|105:50:03|76.2|62|CSM|Vertical||Rev 17|King, Abul Wafa|Mapping|3400|
AS16-M-0082|105:50:26|76.2|63|CSM|Vertical||Rev 17|Abul Wafa|Mapping|3400|
AS16-M-0083|105:50:49|76.2|64|CSM|Vertical||Rev 17|Abul Wafa, Firsov|Mapping|3400|
AS16-M-0084|105:51:12|76.2|65|CSM|Vertical||Rev 17|Abul Wafa, Firsov|Mapping|3400|
AS16-M-0085|105:51:35|76.2|66|CSM|Vertical||Rev 17|Abul Wafa, Firsov|Mapping|3400|
AS16-M-0086|105:51:58|76.2|67|CSM|Vertical||Rev 17|Firsov, Buisson|Mapping|3400|
AS16-M-0087|105:52:22|76.2|68|CSM|Vertical||Rev 17|Firsov, Buisson|Mapping|3400|
AS16-M-0088|105:52:45|76.2|69|CSM|Vertical||Rev 17|Firsov, Buisson|Mapping|3400|
AS16-M-0089|105:53:08|76.2|70|CSM|Vertical||Rev 17|East of Saha|Mapping|3400|
AS16-M-0090|105:53:31|76.2|71|CSM|Vertical||Rev 17|East of Saha|Mapping|3400|
AS16-M-0091|105:53:54|76.2|73|CSM|Vertical||Rev 17|East rim of Saha|Mapping|3400|
AS16-M-0092|105:54:20|76.2|74|CSM|Vertical||Rev 17|Saha|Mapping|3400|
AS16-M-0093|105:54:47|76.2|75|CSM|Vertical||Rev 17|Saha|Mapping|3400|
AS16-M-0094|105:55:14|76.2|77|CSM|Vertical||Rev 17|Saha|Mapping|3400|
AS16-M-0095|105:55:41|76.2|78|CSM|Vertical||Rev 17|Saha, Wyld|Mapping|3400|
AS16-M-0096|105:56:08|76.2|79|CSM|Vertical||Rev 17|Saha, Wyld|Mapping|3400|
AS16-M-0097|105:56:35|76.2|81|CSM|Vertical||Rev 17|Saha, Wyld|Mapping|3400|
AS16-M-0098|105:57:02|76.2|82|CSM|Vertical||Rev 17|Wyld, Purkyne|Mapping|3400|
AS16-M-0099|105:57:29|76.2|83|CSM|Vertical||Rev 17|Wyld, Purkyne|Mapping|3400|
AS16-M-0100|105:57:56|76.2|84|CSM|Vertical||Rev 17|Wyld, Purkyne|Mapping|3400|
AS16-M-0101|105:58:24|76.2|86|CSM|Vertical||Rev 17|Purkyne|Mapping|3400|
AS16-M-0102|105:58:51|76.2|86|CSM|Vertical||Rev 17|Purkyne, Mare Smythii|Mapping|3400|
AS16-M-0103|105:59:18|76.2|87|CSM|Vertical||Rev 17|Mare Smythii|Mapping|3400|
