skip (GET)|LPI filename|ALSJ filename|media.apolloinrealtime.org filename|Description|Source
123:40:40|AS16-114-18399|||EVA-1, station 1, samples 371 rock & 363 soil|NASA
123:41:20|AS16-114-18400|||EVA-1, station 1, samples 364 rock 356 soil|NASA
123:41:25|AS16-114-18401|||EVA-1, station 1, samples 364 rock 356 soil|NASA
123:42:34|AS16-114-18402|||EVA-1, station 1, samples 364 rock 356 soil|NASA
123:44:48|AS16-114-18403|||EVA-1, station 1, samples 364 rock 356 soil|NASA
123:46:08|AS16-114-18404|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
123:46:15|AS16-114-18405|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
123:47:51|AS16-114-18406|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
123:49:58|AS16-114-18407|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
123:50:45|AS16-114-18408|||EVA-1, station 1, samples 362, rock, 002 rock, 369 soil|NASA
123:52:53|AS16-114-18409|||EVA-1, station 1, samples 352 soil & 357 soil trench|NASA
123:52:58|AS16-114-18410|||EVA-1, station 1, samples 352 soil & 357 soil trench|NASA
123:55:52|AS16-114-18411|||EVA-1, station 1, samples 352 soil & 357 soil trench|NASA
123:58:20|AS16-114-18412|||EVA-1, station 1, samples 353 rock 368 soil|NASA
123:58:23|AS16-114-18413|||EVA-1, station 1, samples 353 rock 368 soil|NASA
124:01:05|AS16-114-18414|||EVA-1, station 1, samples 353 rock 368 soil|NASA
124:02:49|AS16-114-18415|||EVA-1, station 1, pan|NASA
124:02:54|AS16-114-18416|||EVA-1, station 1, pan|NASA
124:02:59|AS16-114-18417|||EVA-1, station 1, pan|NASA
124:03:03|AS16-114-18418|||EVA-1, station 1, pan|NASA
124:03:08|AS16-114-18419|||EVA-1, station 1, pan|NASA
124:03:11|AS16-114-18420|||EVA-1, station 1, pan|NASA
124:03:15|AS16-114-18421|||EVA-1, station 1, pan|NASA
124:03:18|AS16-114-18422|||EVA-1, station 1, pan|NASA
124:03:21|AS16-114-18423|||EVA-1, station 1, pan|NASA
124:03:24|AS16-114-18424|||EVA-1, station 1, pan|NASA
124:03:28|AS16-114-18425|||EVA-1, station 1, pan|NASA
124:03:31|AS16-114-18426|||EVA-1, station 1, pan|NASA
124:03:33|AS16-114-18427|||EVA-1, station 1, pan|NASA
124:03:36|AS16-114-18428|||EVA-1, station 1, pan|NASA
124:03:40|AS16-114-18429|||EVA-1, station 1, pan|NASA
124:03:43|AS16-114-18430|||EVA-1, station 1, pan|NASA
124:03:45|AS16-114-18431|||EVA-1, station 1, pan|NASA
124:03:48|AS16-114-18432|||EVA-1, station 1, pan|NASA
124:36:24|AS16-114-18433|||EVA-1, station 2, LRV, lunar portable magnetometer|NASA
124:36:44|AS16-114-18434|||EVA-1, LM, LRV|NASA
125:23:32|AS16-114-18435|||EVA-1, LM, Far UV camera|NASA
125:23:38|AS16-114-18436|||EVA-1, LM, Far UV camera|NASA
125:24:45|AS16-114-18437|||EVA-1, LM, Far UV camera|NASA
125:24:52|AS16-114-18438|||EVA-1, LM, Far UV camera|NASA
125:25:00|AS16-114-18439|||EVA-1, LM, Far UV camera|NASA
125:25:04|AS16-114-18440|||EVA-1, LM, Far UV camera|NASA
125:25:10|AS16-114-18441|||EVA-1, LM shadow|NASA
NA|AS16-114-18442|||Blank|NASA
NA|AS16-114-18443|||Blank|NASA
148:27:13|AS16-114-18444|||EVA-2, station 9, Stone Mountain|NASA
149:16:11|AS16-114-18445|||EVA-2, station 10, sample 381 rock|NASA
149:16:17|AS16-114-18446|||EVA-2, station 10, sample 381 rock|NASA
149:17:45|AS16-114-18447|||EVA-2, station 10, sample 381 rock|NASA
149:18:03|AS16-114-18448|||EVA-2, station 10, sample 381 rock|NASA
149:20:12|AS16-114-18449|||EVA-2, station 10, pan|NASA
149:20:15|AS16-114-18450|||EVA-2, station 10, pan|NASA
149:20:17|AS16-114-18451|||EVA-2, station 10, pan|NASA
149:20:19|AS16-114-18452|||EVA-2, station 10, pan|NASA
149:20:22|AS16-114-18453|||EVA-2, station 10, pan|NASA
149:20:24|AS16-114-18454|||EVA-2, station 10, pan|NASA
149:20:27|AS16-114-18455|||EVA-2, station 10, pan|NASA
149:20:29|AS16-114-18456|||EVA-2, station 10, pan|NASA
149:20:32|AS16-114-18457|||EVA-2, station 10, pan|NASA
149:20:35|AS16-114-18458|||EVA-2, station 10, pan|NASA
149:20:39|AS16-114-18459|||EVA-2, station 10, pan|NASA
149:20:42|AS16-114-18460|||EVA-2, station 10, pan|NASA
149:20:45|AS16-114-18461|||EVA-2, station 10, pan|NASA
149:20:48|AS16-114-18462|||EVA-2, station 10, pan|NASA
149:20:51|AS16-114-18463|||EVA-2, station 10, pan|NASA
149:20:54|AS16-114-18464|||EVA-2, station 10, pan|NASA
149:20:58|AS16-114-18465|||EVA-2, station 10, pan|NASA
149:21:02|AS16-114-18466|||EVA-2, station 10, pan|NASA
149:21:05|AS16-114-18467|||EVA-2, station 10, pan|NASA
149:25:12|AS16-114-18468|||EVA-2, LM, Far UV camera|NASA
149:25:15|AS16-114-18469|||EVA-2, LM, Far UV camera|NASA
149:25:18|AS16-114-18470|||EVA-2, LM, Far UV camera|NASA
NA|AS16-110-17865|||Blank|NASA
143:14:14|AS16-110-17866|||EVA-2, LM, football size rock 4|NASA
143:14:18|AS16-110-17867|||EVA-2, LM, football size rock 4|NASA
143:15:36|AS16-110-17868|||EVA-2, LM, football size rock 4|NASA
143:16:52|AS16-110-17869|||EVA-2, LM, LRV fender|NASA
143:31:57|AS16-110-17870|||EVA-2, LRV traverse from LM to station 4|NASA
143:32:11|AS16-110-17871|||EVA-2, LRV traverse from LM to station 4|NASA
143:32:33|AS16-110-17872|||EVA-2, LRV traverse from LM to station 4|NASA
143:32:54|AS16-110-17873|||EVA-2, LRV traverse from LM to station 4|NASA
143:33:10|AS16-110-17874|||EVA-2, LRV traverse from LM to station 4|NASA
143:33:37|AS16-110-17875|||EVA-2, LRV traverse from LM to station 4|NASA
143:34:37|AS16-110-17876|||EVA-2, LRV traverse from LM to station 4|NASA
143:36:10|AS16-110-17877|||EVA-2, LRV traverse from LM to station 4|NASA
143:36:29|AS16-110-17878|||EVA-2, LRV traverse from LM to station 4|NASA
143:36:50|AS16-110-17879|||EVA-2, LRV traverse from LM to station 4|NASA
143:37:11|AS16-110-17880|||EVA-2, LRV traverse from LM to station 4|NASA
143:37:56|AS16-110-17881|||EVA-2, LRV traverse from LM to station 4|NASA
143:38:06|AS16-110-17882|||EVA-2, LRV traverse from LM to station 4|NASA
143:38:46|AS16-110-17883|||EVA-2, LRV traverse from LM to station 4|NASA
143:39:34|AS16-110-17884|||EVA-2, LRV traverse from LM to station 4|NASA
143:39:49|AS16-110-17885|||EVA-2, LRV traverse from LM to station 4|NASA
143:40:34|AS16-110-17886|||EVA-2, LRV traverse from LM to station 4|NASA
143:40:59|AS16-110-17887|||EVA-2, LRV traverse from LM to station 4|NASA
143:41:16|AS16-110-17888|||EVA-2, LRV traverse from LM to station 4|NASA
143:42:06|AS16-110-17889|||EVA-2, LRV traverse from LM to station 4|NASA
143:42:47|AS16-110-17890|||EVA-2, LRV traverse from LM to station 4|NASA
143:43:00|AS16-110-17891|||EVA-2, LRV traverse from LM to station 4|NASA
143:43:11|AS16-110-17892|||EVA-2, LRV traverse from LM to station 4|NASA
143:43:19|AS16-110-17893|||EVA-2, LRV traverse from LM to station 4|NASA
143:43:45|AS16-110-17894|||EVA-2, LRV traverse from LM to station 4|NASA
143:43:58|AS16-110-17895|||EVA-2, LRV traverse from LM to station 4|NASA
143:44:07|AS16-110-17896|||EVA-2, LRV traverse from LM to station 4|NASA
143:44:19|AS16-110-17897|||EVA-2, LRV traverse from LM to station 4|NASA
143:44:55|AS16-110-17898|||EVA-2, LRV traverse from LM to station 4|NASA
143:45:32|AS16-110-17899|||EVA-2, LRV traverse from LM to station 4|NASA
143:45:44|AS16-110-17900|||EVA-2, LRV traverse from LM to station 4|NASA
143:46:08|AS16-110-17901|||EVA-2, LRV traverse from LM to station 4|NASA
143:46:34|AS16-110-17902|||EVA-2, LRV traverse from LM to station 4|NASA
143:46:54|AS16-110-17903|||EVA-2, LRV traverse from LM to station 4|NASA
143:47:11|AS16-110-17904|||EVA-2, LRV traverse from LM to station 4|NASA
143:47:35|AS16-110-17905|||EVA-2, LRV traverse from LM to station 4|NASA
143:47:57|AS16-110-17906|||EVA-2, LRV traverse from LM to station 4|NASA
143:48:09|AS16-110-17907|||EVA-2, LRV traverse from LM to station 4|NASA
143:48:34|AS16-110-17908|||EVA-2, LRV traverse from LM to station 4|NASA
143:48:52|AS16-110-17909|||EVA-2, LRV traverse from LM to station 4|NASA
143:49:39|AS16-110-17910|||EVA-2, LRV traverse from LM to station 4|NASA
143:49:51|AS16-110-17911|||EVA-2, LRV traverse from LM to station 4|NASA
143:50:00|AS16-110-17912|||EVA-2, LRV traverse from LM to station 4|NASA
143:50:25|AS16-110-17913|||EVA-2, LRV traverse from LM to station 4|NASA
143:50:46|AS16-110-17914|||EVA-2, LRV traverse from LM to station 4|NASA
143:51:08|AS16-110-17915|||EVA-2, LRV traverse from LM to station 4|NASA
143:51:20|AS16-110-17916|||EVA-2, LRV traverse from LM to station 4|NASA
143:51:37|AS16-110-17917|||EVA-2, LRV traverse from LM to station 4|NASA
143:52:11|AS16-110-17918|||EVA-2, LRV traverse from LM to station 4|NASA
143:52:29|AS16-110-17919|||EVA-2, LRV traverse from LM to station 4|NASA
143:52:56|AS16-110-17920|||EVA-2, LRV traverse from LM to station 4|NASA
143:53:18|AS16-110-17921|||EVA-2, LRV traverse from LM to station 4|NASA
143:53:34|AS16-110-17922|||EVA-2, LRV traverse from LM to station 4|NASA
143:53:55|AS16-110-17923|||EVA-2, LRV traverse from LM to station 4|NASA
143:54:25|AS16-110-17924|||EVA-2, LRV traverse from LM to station 4|NASA
143:54:45|AS16-110-17925|||EVA-2, LRV traverse from LM to station 4|NASA
143:54:54|AS16-110-17926|||EVA-2, LRV traverse from LM to station 4|NASA
143:55:35|AS16-110-17927|||EVA-2, LRV traverse from LM to station 4|NASA
143:56:07|AS16-110-17928|||EVA-2, LRV traverse from LM to station 4|NASA
143:56:55|AS16-110-17929|||EVA-2, LRV traverse from LM to station 4|NASA
143:57:34|AS16-110-17930|||EVA-2, LRV traverse from LM to station 4|NASA
143:57:49|AS16-110-17931|||EVA-2, LRV traverse from LM to station 4|NASA
143:58:26|AS16-110-17932|||EVA-2, LRV traverse from LM to station 4|NASA
143:58:52|AS16-110-17933|||EVA-2, LRV traverse from LM to station 4|NASA
143:59:12|AS16-110-17934|||EVA-2, LRV traverse from LM to station 4|NASA
143:59:57|AS16-110-17935|||EVA-2, LRV traverse from LM to station 4|NASA
144:00:28|AS16-110-17936|||EVA-2, LRV traverse from LM to station 4|NASA
144:00:59|AS16-110-17937|||EVA-2, LRV traverse from LM to station 4|NASA
144:01:14|AS16-110-17938|||EVA-2, LRV traverse from LM to station 4|NASA
144:02:21|AS16-110-17939|||EVA-2, LRV traverse from LM to station 4|NASA
144:03:30|AS16-110-17940|||EVA-2, LRV traverse from LM to station 4|NASA
144:04:12|AS16-110-17941|||EVA-2, LRV traverse from LM to station 4|NASA
144:04:27|AS16-110-17942|||EVA-2, LRV traverse from LM to station 4|NASA
144:05:15|AS16-110-17943|||EVA-2, LRV traverse from LM to station 4|NASA
144:06:27|AS16-110-17944|||EVA-2, LRV traverse from LM to station 4|NASA
144:06:59|AS16-110-17945|||EVA-2, LRV traverse from LM to station 4|NASA
144:07:05|AS16-110-17946|||EVA-2, LRV traverse from LM to station 4|NASA
144:20:37|AS16-110-17947|||EVA-2, station 4, samples 395 & 396 rake|NASA
144:20:45|AS16-110-17948|||EVA-2, station 4, samples 395 & 396 rake|NASA
144:43:40|AS16-110-17949|||EVA-2, station 4, double core, upper 43, lower 38|NASA
144:43:45|AS16-110-17950|||EVA-2, station 4, double core, upper 43, lower 38|NASA
144:44:20|AS16-110-17951|||EVA-2, station 4, double core, upper 43, lower 38|NASA
144:57:04|AS16-110-17952|||EVA-2, station 4, pan|NASA
144:57:08|AS16-110-17953|||EVA-2, station 4, pan|NASA
144:57:10|AS16-110-17954|||EVA-2, station 4, pan|NASA
144:57:12|AS16-110-17955|||EVA-2, station 4, pan|NASA
144:57:14|AS16-110-17956|||EVA-2, station 4, pan|NASA
144:57:16|AS16-110-17957|||EVA-2, station 4, pan|NASA
144:57:18|AS16-110-17958|||EVA-2, station 4, pan|NASA
144:57:19|AS16-110-17959|||EVA-2, station 4, pan|NASA
144:57:21|AS16-110-17960|||EVA-2, station 4, pan|NASA
144:57:23|AS16-110-17961|||EVA-2, station 4, pan|NASA
144:57:25|AS16-110-17962|||EVA-2, station 4, pan|NASA
144:57:27|AS16-110-17963|||EVA-2, station 4, pan|NASA
144:57:31|AS16-110-17964|||EVA-2, station 4, pan|NASA
144:57:33|AS16-110-17965|||EVA-2, station 4, pan|NASA
144:57:34|AS16-110-17966|||EVA-2, station 4, pan|NASA
144:57:36|AS16-110-17967|||EVA-2, station 4, pan|NASA
144:57:38|AS16-110-17968|||EVA-2, station 4, pan|NASA
144:57:41|AS16-110-17969|||EVA-2, station 4, pan|NASA
144:57:44|AS16-110-17970|||EVA-2, station 4, pan|NASA
144:57:46|AS16-110-17971|||EVA-2, station 4, pan|NASA
144:57:48|AS16-110-17972|||EVA-2, station 4, pan|NASA
144:57:51|AS16-110-17973|||EVA-2, station 4, pan|NASA
144:57:53|AS16-110-17974|||EVA-2, station 4, pan|NASA
145:05:03|AS16-110-17975|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:05:06|AS16-110-17976|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:05:12|AS16-110-17977|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:05:34|AS16-110-17978|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:05:53|AS16-110-17979|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:06:16|AS16-110-17980|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:06:30|AS16-110-17981|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:06:52|AS16-110-17982|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:07:00|AS16-110-17983|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:07:15|AS16-110-17984|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:07:28|AS16-110-17985|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:07:46|AS16-110-17986|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:07:58|AS16-110-17987|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:08:19|AS16-110-17988|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:08:37|AS16-110-17989|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:09:06|AS16-110-17990|||EVA-2, LRV traverse from station 4 to station 5|NASA
145:13:13|AS16-110-17991|||EVA-2, station 5, pan|NASA
145:13:16|AS16-110-17992|||EVA-2, station 5, pan|NASA
145:13:19|AS16-110-17993|||EVA-2, station 5, pan|NASA
145:13:23|AS16-110-17994|||EVA-2, station 5, pan|NASA
145:13:26|AS16-110-17995|||EVA-2, station 5, pan|NASA
145:13:29|AS16-110-17996|||EVA-2, station 5, pan|NASA
145:13:32|AS16-110-17997|||EVA-2, station 5, pan|NASA
145:13:36|AS16-110-17998|||EVA-2, station 5, pan|NASA
145:13:39|AS16-110-17999|||EVA-2, station 5, pan|NASA
145:13:42|AS16-110-18000|||EVA-2, station 5, pan|NASA
145:13:45|AS16-110-18001|||EVA-2, station 5, pan|NASA
145:13:49|AS16-110-18002|||EVA-2, station 5, pan|NASA
145:13:53|AS16-110-18003|||EVA-2, station 5, pan|NASA
145:13:56|AS16-110-18004|||EVA-2, station 5, pan|NASA
145:14:00|AS16-110-18005|||EVA-2, station 5, pan|NASA
145:14:04|AS16-110-18006|||EVA-2, station 5, pan|NASA
145:14:09|AS16-110-18007|||EVA-2, station 5, pan|NASA
145:14:14|AS16-110-18008|||EVA-2, station 5, pan|NASA
145:14:19|AS16-110-18009|||EVA-2, station 5, pan|NASA
145:14:23|AS16-110-18010|||EVA-2, station 5, pan|NASA
145:14:27|AS16-110-18011|||EVA-2, station 5, pan|NASA
145:14:30|AS16-110-18012|||EVA-2, station 5, pan|NASA
145:14:33|AS16-110-18013|||EVA-2, station 5, pan|NASA
145:14:36|AS16-110-18014|||EVA-2, station 5, pan|NASA
145:14:39|AS16-110-18015|||EVA-2, station 5, pan|NASA
145:14:43|AS16-110-18016|||EVA-2, station 5, pan|NASA
145:14:48|AS16-110-18017|||EVA-2, station 5, pan|NASA
145:14:52|AS16-110-18018|||EVA-2, station 5, pan|NASA
145:17:52|AS16-110-18019|||EVA-2, station 5, samples 332 rake, 333 soil|NASA
145:18:29|AS16-110-18020|||EVA-2, station 5, samples 332 rake, 333 soil|NASA
145:22:31|AS16-110-18021|||EVA-2, station 5, samples 334 rake, 402 soil|NASA
145:22:35|AS16-110-18022|||EVA-2, station 5, samples 334 rake, 402 soil|NASA
145:31:25|AS16-110-18023|||EVA-2, station 5, samples 404, 405 rake|NASA
145:31:29|AS16-110-18024|||EVA-2, station 5, samples 404, 405 rake|NASA
145:32:33|AS16-110-18025|||EVA-2, station 5, samples 404, 405 rake|NASA
145:33:51|AS16-110-18026|||EVA-2, station 5, samples 404, 405 rake|NASA
145:43:37|AS16-110-18027|||EVA-2, sataion 5, sample 336, rock|NASA
145:43:45|AS16-110-18028|||EVA-2, sataion 5, sample 336, rock|NASA
145:48:15|AS16-110-18029|||EVA-2, sataion 5, sample 337, rock|NASA
145:48:19|AS16-110-18030|||EVA-2, sataion 5, sample 337, rock|NASA
145:50:51|AS16-110-18031|||EVA-2, station 5, beside LRV|NASA
145:50:55|AS16-110-18032|||EVA-2, station 5, partial frame|NASA
NA|AS16-110-18033|||Blank|NASA
166:09:25|AS16-111-18034|||EVA-3, LRV traverse from LM to station 11|NASA
166:10:10|AS16-111-18035|||EVA-3, LRV traverse from LM to station 11|NASA
166:10:22|AS16-111-18036|||EVA-3, LRV traverse from LM to station 11|NASA
166:10:38|AS16-111-18037|||EVA-3, LRV traverse from LM to station 11|NASA
166:10:42|AS16-111-18038|||EVA-3, LRV traverse from LM to station 11|NASA
166:10:54|AS16-111-18039|||EVA-3, LRV traverse from LM to station 11|NASA
166:11:10|AS16-111-18040|||EVA-3, LRV traverse from LM to station 11|NASA
166:11:27|AS16-111-18041|||EVA-3, LRV traverse from LM to station 11|NASA
166:11:48|AS16-111-18042|||EVA-3, LRV traverse from LM to station 11|NASA
166:12:03|AS16-111-18043|||EVA-3, LRV traverse from LM to station 11|NASA
166:12:16|AS16-111-18044|||EVA-3, LRV traverse from LM to station 11|NASA
166:12:26|AS16-111-18045|||EVA-3, LRV traverse from LM to station 11|NASA
166:12:36|AS16-111-18046|||EVA-3, LRV traverse from LM to station 11|NASA
166:12:52|AS16-111-18047|||EVA-3, LRV traverse from LM to station 11|NASA
166:13:07|AS16-111-18048|||EVA-3, LRV traverse from LM to station 11|NASA
166:13:23|AS16-111-18049|||EVA-3, LRV traverse from LM to station 11|NASA
166:13:33|AS16-111-18050|||EVA-3, LRV traverse from LM to station 11|NASA
166:13:47|AS16-111-18051|||EVA-3, LRV traverse from LM to station 11|NASA
166:14:09|AS16-111-18052|||EVA-3, LRV traverse from LM to station 11|NASA
166:14:32|AS16-111-18053|||EVA-3, LRV traverse from LM to station 11|NASA
166:14:44|AS16-111-18054|||EVA-3, LRV traverse from LM to station 11|NASA
166:14:47|AS16-111-18055|||EVA-3, LRV traverse from LM to station 11|NASA
166:14:50|AS16-111-18056|||EVA-3, LRV traverse from LM to station 11|NASA
166:15:00|AS16-111-18057|||EVA-3, LRV traverse from LM to station 11|NASA
166:15:23|AS16-111-18058|||EVA-3, LRV traverse from LM to station 11|NASA
166:15:50|AS16-111-18059|||EVA-3, LRV traverse from LM to station 11|NASA
166:16:04|AS16-111-18060|||EVA-3, LRV traverse from LM to station 11|NASA
166:16:15|AS16-111-18061|||EVA-3, LRV traverse from LM to station 11|NASA
166:16:27|AS16-111-18062|||EVA-3, LRV traverse from LM to station 11|NASA
166:17:00|AS16-111-18063|||EVA-3, LRV traverse from LM to station 11|NASA
166:17:14|AS16-111-18064|||EVA-3, LRV traverse from LM to station 11|NASA
166:17:29|AS16-111-18065|||EVA-3, LRV traverse from LM to station 11|NASA
166:17:42|AS16-111-18066|||EVA-3, LRV traverse from LM to station 11|NASA
166:18:10|AS16-111-18067|||EVA-3, LRV traverse from LM to station 11|NASA
166:18:17|AS16-111-18068|||EVA-3, LRV traverse from LM to station 11|NASA
166:18:32|AS16-111-18069|||EVA-3, LRV traverse from LM to station 11|NASA
166:18:41|AS16-111-18070|||EVA-3, LRV traverse from LM to station 11|NASA
166:18:50|AS16-111-18071|||EVA-3, LRV traverse from LM to station 11|NASA
166:19:00|AS16-111-18072|||EVA-3, LRV traverse from LM to station 11|NASA
166:19:29|AS16-111-18073|||EVA-3, LRV traverse from LM to station 11|NASA
166:19:45|AS16-111-18074|||EVA-3, LRV traverse from LM to station 11|NASA
166:19:48|AS16-111-18075|||EVA-3, LRV traverse from LM to station 11|NASA
166:19:58|AS16-111-18076|||EVA-3, LRV traverse from LM to station 11|NASA
166:20:01|AS16-111-18077|||EVA-3, LRV traverse from LM to station 11|NASA
166:20:10|AS16-111-18078|||EVA-3, LRV traverse from LM to station 11|NASA
166:20:15|AS16-111-18079|||EVA-3, LRV traverse from LM to station 11|NASA
166:20:22|AS16-111-18080|||EVA-3, LRV traverse from LM to station 11|NASA
166:20:34|AS16-111-18081|||EVA-3, LRV traverse from LM to station 11|NASA
166:20:48|AS16-111-18082|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:13|AS16-111-18083|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:23|AS16-111-18084|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:26|AS16-111-18085|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:29|AS16-111-18086|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:34|AS16-111-18087|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:39|AS16-111-18088|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:44|AS16-111-18089|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:51|AS16-111-18090|||EVA-3, LRV traverse from LM to station 11|NASA
166:21:54|AS16-111-18091|||EVA-3, LRV traverse from LM to station 11|NASA
166:22:01|AS16-111-18092|||EVA-3, LRV traverse from LM to station 11|NASA
166:22:05|AS16-111-18093|||EVA-3, LRV traverse from LM to station 11|NASA
166:22:13|AS16-111-18094|||EVA-3, LRV traverse from LM to station 11|NASA
166:22:20|AS16-111-18095|||EVA-3, LRV traverse from LM to station 11|NASA
166:22:29|AS16-111-18096|||EVA-3, LRV traverse from LM to station 11|NASA
166:22:42|AS16-111-18097|||EVA-3, LRV traverse from LM to station 11|NASA
166:22:53|AS16-111-18098|||EVA-3, LRV traverse from LM to station 11|NASA
166:23:09|AS16-111-18099|||EVA-3, LRV traverse from LM to station 11|NASA
166:23:18|AS16-111-18100|||EVA-3, LRV traverse from LM to station 11|NASA
166:23:27|AS16-111-18101|||EVA-3, LRV traverse from LM to station 11|NASA
166:23:34|AS16-111-18102|||EVA-3, LRV traverse from LM to station 11|NASA
166:23:45|AS16-111-18103|||EVA-3, LRV traverse from LM to station 11|NASA
166:23:59|AS16-111-18104|||EVA-3, LRV traverse from LM to station 11|NASA
166:24:15|AS16-111-18105|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:04|AS16-111-18106|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:09|AS16-111-18107|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:12|AS16-111-18108|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:19|AS16-111-18109|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:23|AS16-111-18110|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:34|AS16-111-18111|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:37|AS16-111-18112|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:40|AS16-111-18113|||EVA-3, LRV traverse from LM to station 11|NASA
166:26:51|AS16-111-18114|||EVA-3, LRV traverse from LM to station 11|NASA
166:27:05|AS16-111-18115|||EVA-3, LRV traverse from LM to station 11|NASA
166:27:07|AS16-111-18116|||EVA-3, LRV traverse from LM to station 11|NASA
166:27:55|AS16-111-18117|||EVA-3, LRV traverse from LM to station 11|NASA
166:28:03|AS16-111-18118|||EVA-3, LRV traverse from LM to station 11|NASA
166:28:05|AS16-111-18119|||EVA-3, LRV traverse from LM to station 11|NASA
166:28:11|AS16-111-18120|||EVA-3, LRV traverse from LM to station 11|NASA
166:28:26|AS16-111-18121|||EVA-3, LRV traverse from LM to station 11|NASA
166:29:46|AS16-111-18122|||EVA-3, LRV traverse from LM to station 11|NASA
166:29:53|AS16-111-18123|||EVA-3, LRV traverse from LM to station 11|NASA
166:30:19|AS16-111-18124|||EVA-3, LRV traverse from LM to station 11|NASA
166:30:30|AS16-111-18125|||EVA-3, LRV traverse from LM to station 11|NASA
166:30:39|AS16-111-18126|||EVA-3, LRV traverse from LM to station 11|NASA
166:30:42|AS16-111-18127|||EVA-3, LRV traverse from LM to station 11|NASA
166:30:52|AS16-111-18128|||EVA-3, LRV traverse from LM to station 11|NASA
166:31:13|AS16-111-18129|||EVA-3, LRV traverse from LM to station 11|NASA
166:31:17|AS16-111-18130|||EVA-3, LRV traverse from LM to station 11|NASA
166:31:22|AS16-111-18131|||EVA-3, LRV traverse from LM to station 11|NASA
166:31:27|AS16-111-18132|||EVA-3, LRV traverse from LM to station 11|NASA
166:31:31|AS16-111-18133|||EVA-3, LRV traverse from LM to station 11|NASA
166:31:41|AS16-111-18134|||EVA-3, LRV traverse from LM to station 11|NASA
166:31:43|AS16-111-18135|||EVA-3, LRV traverse from LM to station 11|NASA
166:31:59|AS16-111-18136|||EVA-3, LRV traverse from LM to station 11|NASA
166:32:19|AS16-111-18137|||EVA-3, LRV traverse from LM to station 11|NASA
166:32:32|AS16-111-18138|||EVA-3, LRV traverse from LM to station 11|NASA
166:32:37|AS16-111-18139|||EVA-3, LRV traverse from LM to station 11|NASA
166:32:59|AS16-111-18140|||EVA-3, LRV traverse from LM to station 11|NASA
166:33:07|AS16-111-18141|||EVA-3, LRV traverse from LM to station 11|NASA
166:33:16|AS16-111-18142|||EVA-3, LRV traverse from LM to station 11|NASA
166:33:33|AS16-111-18143|||EVA-3, LRV traverse from LM to station 11|NASA
166:34:04|AS16-111-18144|||EVA-3, LRV traverse from LM to station 11|NASA
166:34:30|AS16-111-18145|||EVA-3, LRV traverse from LM to station 11|NASA
166:34:36|AS16-111-18146|||EVA-3, LRV traverse from LM to station 11|NASA
166:34:46|AS16-111-18147|||EVA-3, LRV traverse from LM to station 11|NASA
166:34:58|AS16-111-18148|||EVA-3, LRV traverse from LM to station 11|NASA
166:35:13|AS16-111-18149|||EVA-3, LRV traverse from LM to station 11|NASA
166:35:42|AS16-111-18150|||EVA-3, LRV traverse from LM to station 11|NASA
166:35:53|AS16-111-18151|||EVA-3, LRV traverse from LM to station 11|NASA
166:36:01|AS16-111-18152|||EVA-3, LRV traverse from LM to station 11|NASA
166:36:09|AS16-111-18153|||EVA-3, LRV traverse from LM to station 11|NASA
166:36:11|AS16-111-18154|||EVA-3, LRV traverse from LM to station 11|NASA
166:36:22|AS16-111-18155|||EVA-3, LRV traverse from LM to station 11|NASA
166:36:29|AS16-111-18156|||EVA-3, LRV traverse from LM to station 11|NASA
