skip (GET)|LPI filename|ALSJ filename|media.apolloinrealtime.org filename|Description|Source
107:34:50|AS16-118-18958|||Kohlschutter|NASA
107:34:54|AS16-118-18959|||Leonov|NASA
107:34:58|AS16-118-18960|||Leonov|NASA
107:35:02|AS16-118-18961|||South of Kohlschutter|NASA
107:35:06|AS16-118-18962|||South of Kohlschutter|NASA
107:35:10|AS16-118-18963|||North of Leonov|NASA
107:35:14|AS16-118-18964|||Leonov|NASA
107:35:22|AS16-118-18965|||Kohlschutter|NASA
107:38:02|AS16-118-18966|||Floor of Mendeleev|NASA
107:38:06|AS16-118-18967|||Floor of Mendeleev|NASA
107:38:09|AS16-118-18968|||Floor of Mendeleev|NASA
107:38:12|AS16-118-18969|||Floor of Mendeleev|NASA
107:38:15|AS16-118-18970|||Floor of Mendeleev|NASA
107:38:18|AS16-118-18971|||Floor of Mendeleev|NASA
107:38:21|AS16-118-18972|||Floor of Mendeleev|NASA
107:38:25|AS16-118-18973|||Floor of Mendeleev|NASA
107:38:28|AS16-118-18974|||Floor of Mendeleev|NASA
107:38:32|AS16-118-18975|||Mendeleev, Nw Wall|NASA
107:38:35|AS16-118-18976|||Floor of Mendeleev|NASA
107:38:38|AS16-118-18977|||Floor of Mendeleev|NASA
107:38:40|AS16-118-18978|||Floor of Mendeleev|NASA
107:38:43|AS16-118-18979|||North west wall of Mendeleev|NASA
107:38:47|AS16-118-18980|||Floor of Mendeleev|NASA
107:38:51|AS16-118-18981|||Mendeleev, Nw Wall|NASA
107:38:55|AS16-118-18982|||Floor of Mendeleev|NASA
107:39:00|AS16-118-18983|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:05|AS16-118-18984|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:10|AS16-118-18985|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:15|AS16-118-18986|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:20|AS16-118-18987|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:25|AS16-118-18988|||Floor of Mendeleev, (Stereo Strip)|NASA
107:39:30|AS16-118-18989|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:35|AS16-118-18990|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:40|AS16-118-18991|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:45|AS16-118-18992|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:50|AS16-118-18993|||West wall of Mendeleevl, (Stereo Strip)|NASA
107:39:55|AS16-118-18994|||West of Mendeleev, (Stereo Strip)|NASA
107:40:00|AS16-118-18995|||West of Mendeleev, (Stereo Strip)|NASA
107:40:04|AS16-118-18996|||West of Mendeleev, (Stereo Strip)|NASA
107:40:09|AS16-118-18997|||West of Mendeleev, (Stereo Strip)|NASA
107:40:14|AS16-118-18998|||West of Mendeleev, (Stereo Strip)|NASA
107:40:18|AS16-118-18999|||West of Mendeleev, (Stereo Strip)|NASA
107:40:23|AS16-118-19000|||West of Mendeleev, (Stereo Strip)|NASA
107:40:28|AS16-118-19001|||West of Mendeleev, (Stereo Strip)|NASA
107:40:33|AS16-118-19002|||West of Mendeleev, (Stereo Strip)|NASA
108:05:13|AS16-118-19003|||Lohse|NASA
108:08:35|AS16-118-19004|||Mc Clure D, Crozier D|NASA
108:08:45|AS16-118-19005|||Crozier, Mc Clure|NASA
108:08:53|AS16-118-19006|||Crozier, Mc Clure|NASA
108:09:08|AS16-118-19007|||Crozier|NASA
108:09:37|AS16-118-19008|||West of Crozier|NASA
108:09:51|AS16-118-19009|||West of Crozier|NASA
108:10:28|AS16-118-19010|||North of Colombo|NASA
108:10:41|AS16-118-19011|||East wall of Goclenius|NASA
108:10:53|AS16-118-19012|||Magelhaens, A|NASA
108:11:11|AS16-118-19013|||Magelhaens, A|NASA
108:11:24|AS16-118-19014|||Magelhaens, Columbo A|NASA
108:11:55|AS16-118-19015|||Montes Pyrenaeus, Bohnenberger|NASA
108:12:13|AS16-118-19016|||Montes Pyrenaeus, Bohnenberger|NASA
108:12:23|AS16-118-19017|||Montes Pyrenaeus, Bohnenberger|NASA
108:12:48|AS16-118-19018|||North of Bohnenberger|NASA
108:13:03|AS16-118-19019|||North of Bohnenberger|NASA
108:13:54|AS16-118-19020|||Gaudibert H|NASA
108:14:04|AS16-118-19021|||Gaudibert H|NASA
NA|AS16-118-19022|||Dark|NASA
096:16:02|AS16-113-18279|||CSM viewed from LM, west rim of Abu Wafa|NASA
096:16:08|AS16-113-18280|||CSM viewed from LM, west rim of Abu Wafa|NASA
096:16:17|AS16-113-18281|||CSM viewed from LM, Buisson Y & Z|NASA
096:16:20|AS16-113-18282|||CSM viwed from LM, north of Buisson|NASA
096:16:23|AS16-113-18283|||CSM viwed from LM, north of Buisson|NASA
096:16:26|AS16-113-18284|||CSM viwed from LM, north of Buisson|NASA
098:11:45|AS16-113-18285|||Earthrise from LM, east of Saha|NASA
098:11:49|AS16-113-18286|||Earthrise from LM, east of Saha|NASA
098:11:54|AS16-113-18287|||Earthrise from LM, east of Saha|NASA
098:11:59|AS16-113-18288|||Earthrise from LM, east of Saha|NASA
098:12:04|AS16-113-18289|||Earthrise from LM, east of Saha|NASA
101:31:03|AS16-113-18290|||CSM viewed from LM|NASA
101:31:06|AS16-113-18291|||CSM viewed from LM|NASA
101:31:10|AS16-113-18292|||CSM viewed from LM|NASA
101:31:13|AS16-113-18293|||CSM viewed from LM|NASA
101:39:30|AS16-113-18294|||CSM viewed from LM, north west rim of Valier|NASA
102:23:45|AS16-113-18295|||Looking SW towards Theophilus from CDR window|NASA
106:13:05|AS16-113-18296|||LM window pan from CDR window|NASA
106:13:12|AS16-113-18297|||LM window pan from CDR window|NASA
106:13:20|AS16-113-18298|||LM window pan from CDR window|NASA
106:13:26|AS16-113-18299|||LM window pan from CDR window|NASA
106:13:39|AS16-113-18300|||LM window pan from CDR window|NASA
106:13:47|AS16-113-18301|||LM window pan from CDR window|NASA
106:13:56|AS16-113-18302|||LM window pan from CDR window|NASA
106:14:10|AS16-113-18303|||LM window pan from CDR window|NASA
106:19:40|AS16-113-18304|||LM window pan from LMP window|NASA
106:19:48|AS16-113-18305|||LM window pan from LMP window|NASA
106:19:55|AS16-113-18306|||LM window pan from LMP window|NASA
106:20:03|AS16-113-18307|||LM window pan from LMP window|NASA
106:20:10|AS16-113-18308|||LM window pan from LMP window|NASA
106:20:17|AS16-113-18309|||LM window pan from LMP window|NASA
106:20:27|AS16-113-18310|||LM window pan from LMP window|NASA
NA|AS16-113-18311|||Blank|NASA
NA|AS16-113-18312|||Blank|NASA
119:34:35|AS16-113-18313|||LM pan|NASA
119:34:39|AS16-113-18314|||LM pan|NASA
119:34:43|AS16-113-18315|||LM pan|NASA
119:34:47|AS16-113-18316|||LM pan|NASA
119:34:50|AS16-113-18317|||LM pan|NASA
119:34:54|AS16-113-18318|||LM pan|NASA
119:34:58|AS16-113-18319|||LM pan|NASA
119:35:01|AS16-113-18320|||LM pan|NASA
119:35:05|AS16-113-18321|||LM pan|NASA
119:35:09|AS16-113-18322|||LM pan|NASA
119:35:13|AS16-113-18323|||LM pan|NASA
119:35:17|AS16-113-18324|||LM pan|NASA
119:35:21|AS16-113-18325|||LM pan|NASA
119:35:25|AS16-113-18326|||LM pan|NASA
119:35:29|AS16-113-18327|||LM pan|NASA
119:35:33|AS16-113-18328|||LM pan|NASA
119:35:37|AS16-113-18329|||LM pan|NASA
119:35:41|AS16-113-18330|||LM pan|NASA
119:36:25|AS16-113-18331|||LM quad 4|NASA
119:36:29|AS16-113-18332|||LM quad 4|NASA
119:36:33|AS16-113-18333|||LM quad 4|NASA
119:36:37|AS16-113-18334|||LM quad 4|NASA
119:37:18|AS16-113-18335|||LM quad 3|NASA
119:38:08|AS16-113-18336|||LM quad 3|NASA
119:39:12|AS16-113-18337|||LM quad 3|NASA
119:39:20|AS16-113-18338|||LM quad 3|NASA
120:25:43|AS16-113-18339|||LM, and CDR and flag|NASA
120:25:51|AS16-113-18340|||LM, and CDR and flag|NASA
120:26:15|AS16-113-18341|||LM, and LMP and flag|NASA
120:26:18|AS16-113-18342|||LM, and LMP and flag|NASA
120:26:20|AS16-113-18343|||LM, and CDR and flag|NASA
120:53:10|AS16-113-18344|||ALSEP, LRV seat & large rock|NASA
122:05:50|AS16-113-18345|||ALSEP, geophone line|NASA
122:06:30|AS16-113-18346|||ALSEP, seismometer|NASA
122:08:50|AS16-113-18347|||ALSEP seismometer & central station|NASA
122:09:30|AS16-113-18348|||ALSEP, central station|NASA
122:13:00|AS16-113-18349|||ALSEP, pan & magnetometer|NASA
122:13:02|AS16-113-18350|||ALSEP, pan|NASA
122:13:04|AS16-113-18351|||ALSEP, pan|NASA
122:13:06|AS16-113-18352|||ALSEP, pan|NASA
122:13:08|AS16-113-18353|||ALSEP, pan|NASA
122:13:10|AS16-113-18354|||ALSEP, pan|NASA
