025:37:42|AS16-104-17029|||Electrophoresis experiment in CM during TLC|NASA
025:38:03|AS16-104-17030|||Electrophoresis experiment in CM during TLC|NASA
025:38:23|AS16-104-17031|||Electrophoresis experiment in CM during TLC|NASA
025:38:43|AS16-104-17032|||Electrophoresis experiment in CM during TLC|NASA
025:39:03|AS16-104-17033|||Electrophoresis experiment in CM during TLC|NASA
025:39:23|AS16-104-17034|||Electrophoresis experiment in CM during TLC|NASA
025:39:43|AS16-104-17035|||Electrophoresis experiment in CM during TLC|NASA
025:40:03|AS16-104-17036|||Electrophoresis experiment in CM during TLC|NASA
025:40:23|AS16-104-17037|||Electrophoresis experiment in CM during TLC|NASA
025:40:43|AS16-104-17038|||Electrophoresis experiment in CM during TLC|NASA
025:41:03|AS16-104-17039|||Electrophoresis experiment in CM during TLC|NASA
025:41:24|AS16-104-17040|||Electrophoresis experiment in CM during TLC|NASA
025:41:44|AS16-104-17041|||Electrophoresis experiment in CM during TLC|NASA
025:42:04|AS16-104-17042|||Electrophoresis experiment in CM during TLC|NASA
025:42:24|AS16-104-17043|||Electrophoresis experiment in CM during TLC|NASA
025:42:44|AS16-104-17044|||Electrophoresis experiment in CM during TLC|NASA
025:43:04|AS16-104-17045|||Electrophoresis experiment in CM during TLC|NASA
025:43:24|AS16-104-17046|||Electrophoresis experiment in CM during TLC|NASA
025:43:44|AS16-104-17047|||Electrophoresis experiment in CM during TLC|NASA
025:44:04|AS16-104-17048|||Electrophoresis experiment in CM during TLC|NASA
025:44:24|AS16-104-17049|||Electrophoresis experiment in CM during TLC|NASA
025:44:44|AS16-104-17050|||Electrophoresis experiment in CM during TLC|NASA
025:45:04|AS16-104-17051|||Electrophoresis experiment in CM during TLC|NASA
025:45:24|AS16-104-17052|||Electrophoresis experiment in CM during TLC|NASA
029:35:00|AS16-131-20116|||(UV) Earth, 3050A|NASA
029:35:05|AS16-131-20117|||(UV) Earth, 3050A|NASA
029:35:10|AS16-131-20118|||(UV) Earth, 2650A|NASA
029:35:15|AS16-131-20119|||(UV) Earth, 2650A|NASA
029:35:20|AS16-131-20120|||(UV) Earth, 3750A|NASA
029:35:25|AS16-131-20121|||(UV) Earth, 3750A|NASA
029:35:30|AS16-131-20122|||(UV) Earth, 4000A|NASA
029:35:35|AS16-131-20123|||(UV) Earth, 4000A|NASA
052:35:00|AS16-118-18890|||Earth|NASA
052:35:00|AS16-131-20124|||(UV) Earth, 3050A|NASA
052:35:05|AS16-131-20125|||(UV) Earth, 3050A|NASA
052:35:10|AS16-131-20126|||(UV) Earth, 2650A|NASA
